title,link1,link2,link3,unresolved
snapp_created,"https://issues.belitsoft.com/issues/?jql=project%20%3D%20SNAPP%20AND%20issuetype%20in%20(Bug%2C%20Improvement%2C%20""QA%20Sub-task"")%20AND%20created%20%3E%3D%20",%20AND%20created%20%3C%3D%20,%20ORDER%20BY%20priority%20DESC%2C%20updated%20DESC,
zuzex_created,https://service.zuzex.com/issues/?jql=project%20%3D%20SB%20AND%20creator%20in%20(belitsoft)%20AND%20created%20%3E%3D%20%22,%2023%3A00%22%20AND%20created%20%3C%3D%20%22,%2023%3A00%22,
snapp_closed,"https://issues.belitsoft.com/issues/?jql=project%20%3D%20SNAPP%20AND%20issuetype%20in%20(Bug%2C%20Improvement%2C%20""QA%20Sub-task"")%20AND%20status%20%3D%20Closed%20AND%20updated%20%3E%3D%20",%20AND%20updated%20%3C%3D%20,%20ORDER%20BY%20priority%20DESC%2C%20updated%20DESC,
zuzex_closed,"https://service.zuzex.com/issues/?jql=project%20%3D%20SB%20AND%20status%20%3D%20""Tested%20in%20Beta""%20AND%20creator%20in%20(belitsoft)%20AND%20updated%20>%3D%20""","%2023%3A00""%20AND%20updated%20<%3D%20""","%2023%3A00""",
snapp_reopened,"https://issues.belitsoft.com/issues/?jql=project%20%3D%20SNAPP%20AND%20issuetype%20in%20(Bug%2C%20Improvement%2C%20""QA%20Sub-task"")%20AND%20status%20%3D%20Reopened%20AND%20updated%20%3E%3D%20",%20AND%20updated%20%3C%3D%20,%20ORDER%20BY%20priority%20DESC%2C%20updated%20DESC,
zuzex_reopened,"https://service.zuzex.com/issues/?jql=project%20%3D%20SB%20AND%20status%20%3D%20Reopened%20AND%20creator%20in%20(belitsoft)%20AND%20updated%20>%3D%20""","%2023%3A00""%20AND%20updated%20<%3D%20""","%2023%3A00""",
snapp_ios_created,"https://issues.belitsoft.com/issues/?jql=project%20%3D%20SNAPP%20AND%20issuetype%20in%20(Bug%2C%20Improvement%2C%20""QA%20Sub-task"")%20AND%20labels%20%3D%20IOS%20AND%20created%20%3E%3D%20",%20AND%20created%20%3C%3D%20,%20ORDER%20BY%20priority%20DESC%2C%20updated%20DESC,
snapp_android_created,"https://issues.belitsoft.com/issues/?jql=project%20%3D%20SNAPP%20AND%20issuetype%20in%20(Bug%2C%20Improvement%2C%20""QA%20Sub-task"")%20AND%20labels%20%3D%20ANDROID%20AND%20created%20%3E%3D%20",%20AND%20created%20%3C%3D%20,%20ORDER%20BY%20priority%20DESC%2C%20updated%20DESC,
snapp_web_created,"https://issues.belitsoft.com/issues/?jql=project%20%3D%20SNAPP%20AND%20issuetype%20in%20(Bug%2C%20Improvement%2C%20""QA%20Sub-task"")%20AND%20labels%20%3D%20WEB%20AND%20created%20%3E%3D%20",%20AND%20created%20%3C%3D%20,%20ORDER%20BY%20priority%20DESC%2C%20updated%20DESC,
snapp_win_created,"https://issues.belitsoft.com/issues/?jql=project%20%3D%20SNAPP%20AND%20issuetype%20in%20(Bug%2C%20Improvement%2C%20""QA%20Sub-task"")%20AND%20labels%20%3D%20WINDOWS%20AND%20created%20%3E%3D%20",%20AND%20created%20%3C%3D%20,%20ORDER%20BY%20priority%20DESC%2C%20updated%20DESC,
